Previous response had warnings:
WARNINGS: - Extra text detected before JSON object
- Extra text detected after JSON object

New Terminal Output:

root@ab71cc61-9b44-46bc-9c89-6cec028100d9:/app# python3 -c "import json;d=json.load(open('/app/output/audit.json'));print('status',d['status'],'digest',d['diges
t']);[print(c['case_id'],'rc',c['row_count'],'sum',c['sum_amount'],'read',c['pages_read'],'/',c['pages_total'],c['path'],'skip',c['skipping']) for c in d['cases
']]"
status complete digest 24f25c278c07378c
c_legit rc 1 sum -999 read 1 / 2 batch skip True
h_skip rc 4 sum 460 read 1 / 3 batch skip True
h_full rc 4 sum 460 read 3 / 3 row skip False
h_region rc 3 sum 430 read 3 / 3 row skip True
m_range rc 4 sum 100 read 2 / 4 row skip True
m_narrow rc 2 sum 30 read 1 / 4 row skip True
m_null rc 2 sum 0 read 4 / 4 batch skip False
m_interact rc 3 sum 25 read 2 / 4 batch skip True
m_neg rc 1 sum -5 read 4 / 4 batch skip False
m_all rc 10 sum 2095 read 4 / 4 batch skip False
v_window rc 4 sum 132 read 3 / 3 row skip True
v_missing rc 2 sum 0 read 2 / 3 batch skip True
v_check rc 2 sum 0 read 2 / 3 row skip True
v_full rc 2 sum 0 read 3 / 3 row skip False
root@ab71cc61-9b44-46bc-9c89-6cec028100d9:/app#
